                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                 3.6084,                 3.0296,                 4.9128,                 4.2672,              0.0040305,               0.034225,              0.0020721,             0.00053632,             0.00095431,               0.092909,              0.0005855,             0.00011057,                 2.8423,                 19.954,                  9.445,                 6.7201,               0.070053,              0.0033274,              0.0033274
                      1,                 2.6059,                 1.0392,                 3.0917,                 2.9616,                0.70124,                0.27076,                0.18335,                0.10044,                0.70239,                0.27317,                 0.1842,                0.10359,                 1.6352,                0.83303,                 2.0604,                 2.2852,               0.039987,              0.0065948,              0.0065948
                      2,                 1.7344,                0.75557,                 1.9868,                 1.8825,                 0.7268,                0.35856,                0.22609,                0.14415,                0.72838,                0.36202,                0.22739,                0.15116,                 1.2815,                0.66515,                 1.6674,                  1.695,              0.0098552,              0.0097962,              0.0097962
                      3,                 1.4425,                 0.6449,                 1.6456,                 1.5587,                0.73094,                0.39476,                0.23975,                0.17107,                0.73147,                0.39992,                0.24181,                0.17196,                 1.1055,                0.58573,                 1.3898,                 1.4776,               0.009703,               0.009703,               0.009703
                      4,                  1.271,                0.58228,                  1.447,                 1.4168,                0.47992,                 0.4074,                0.25818,                0.18699,                0.48139,                0.40815,                0.25872,                0.18609,                0.94148,                 0.5429,                 1.3125,                 1.3665,               0.009703,               0.009703,               0.009703
                      5,                 1.1885,                0.55116,                 1.3329,                 1.3504,                0.47971,                0.41115,                0.24293,                0.17784,                0.48112,                0.41369,                0.24542,                0.17736,                0.89135,                0.50739,                 1.2461,                 1.2974,               0.009604,               0.009604,               0.009604
                      6,                 1.1163,                0.53164,                 1.2306,                 1.3001,                0.77864,                0.40332,                0.36048,                0.27666,                0.77938,                0.40441,                0.36028,                0.26312,                0.83694,                0.54314,                 1.0657,                 1.2439,               0.009505,               0.009505,               0.009505
                      7,                 1.0765,                0.51555,                 1.1331,                 1.2739,                0.85384,                0.38658,                0.41256,                0.31909,                  0.856,                0.38894,                0.41432,                0.31493,                0.84156,                0.48403,                0.92691,                 1.2539,               0.009406,               0.009406,               0.009406
                      8,                 1.0474,                0.49835,                 1.0409,                 1.2454,                0.91904,                0.41966,                0.47168,                0.36971,                 0.9194,                 0.4231,                0.47326,                0.36132,                0.81913,                0.47904,                0.78885,                 1.2286,               0.009307,               0.009307,               0.009307
                      9,                 1.0197,                0.49296,                 1.0055,                 1.2332,                0.89261,                0.39817,                0.45221,                0.35868,                0.89447,                0.39991,                 0.4548,                  0.352,                0.80461,                0.45987,                0.84666,                 1.2012,               0.009208,               0.009208,               0.009208
                     10,                0.98968,                0.47914,                  0.948,                 1.2106,                0.87815,                0.37655,                0.45406,                0.36666,                0.87815,                0.37657,                0.45532,                0.35788,                0.76304,                0.45617,                0.84027,                 1.1791,               0.009109,               0.009109,               0.009109
                     11,                0.97905,                0.47522,                0.91359,                 1.2075,                0.94618,                0.43651,                0.51312,                0.41703,                 0.9473,                0.43779,                0.51661,                0.40557,                0.76183,                 0.4427,                0.62917,                 1.1812,                0.00901,                0.00901,                0.00901
                     12,                 0.9622,                0.47069,                 0.8852,                 1.1994,                0.95515,                0.43385,                0.51115,                0.41416,                0.95412,                0.43754,                0.51308,                0.40576,                0.75818,                0.43731,                0.62285,                 1.1651,               0.008911,               0.008911,               0.008911
                     13,                0.94415,                0.46062,                0.85649,                  1.185,                0.96756,                0.44275,                0.49466,                0.40269,                0.97154,                0.44514,                0.49636,                0.39466,                0.75086,                0.43434,                0.57651,                 1.1738,               0.008812,               0.008812,               0.008812
                     14,                0.92894,                0.45981,                0.82488,                 1.1703,                0.95836,                0.42958,                0.47463,                0.38431,                0.95945,                 0.4311,                0.47504,                0.37472,                0.75273,                0.45255,                0.61293,                 1.1629,               0.008713,               0.008713,               0.008713
                     15,                0.91325,                0.44879,                0.81021,                 1.1629,                0.95531,                0.43254,                0.48308,                0.39385,                0.94835,                0.44386,                0.48486,                0.38378,                0.72958,                0.43144,                0.59254,                 1.1524,               0.008614,               0.008614,               0.008614
                     16,                0.90454,                   0.45,                0.79116,                 1.1582,                0.97075,                0.44189,                0.49826,                0.40358,                0.97128,                 0.4423,                0.49868,                 0.3898,                0.75278,                0.45707,                0.54763,                 1.1643,               0.008515,               0.008515,               0.008515
                     17,                0.89608,                0.43753,                0.77249,                 1.1527,                 0.9649,                 0.4421,                0.48953,                0.40003,                0.96629,                0.44393,                0.49025,                0.39121,                 0.7222,                0.41389,                0.54025,                 1.1294,               0.008416,               0.008416,               0.008416
                     18,                0.88539,                0.43668,                0.75337,                 1.1444,                0.97407,                0.44484,                0.49127,                0.40352,                0.97428,                0.44783,                0.49285,                0.39227,                0.71223,                0.41242,                0.50124,                 1.1321,               0.008317,               0.008317,               0.008317
                     19,                0.88108,                0.43324,                0.73036,                 1.1368,                0.97092,                 0.4523,                0.49284,                0.40509,                0.97446,                0.45388,                0.49506,                0.39843,                0.72315,                0.41136,                0.49374,                 1.1327,               0.008218,               0.008218,               0.008218
                     20,                0.87705,                0.43762,                0.73983,                 1.1345,                0.96911,                0.45834,                0.48969,                0.40352,                0.97171,                0.46089,                 0.4925,                0.39243,                0.69864,                0.41212,                 0.4924,                 1.1232,               0.008119,               0.008119,               0.008119
                     21,                0.87049,                0.43091,                0.72055,                 1.1412,                0.96447,                0.45029,                0.48534,                0.39958,                0.96453,                0.45314,                 0.4871,                0.38921,                0.70213,                0.40962,                0.50713,                 1.1185,                0.00802,                0.00802,                0.00802
                     22,                0.85297,                0.42862,                0.70606,                 1.1232,                0.96832,                0.45345,                0.49014,                0.40326,                0.96879,                0.45384,                0.49165,                0.39251,                0.69556,                0.41377,                0.48941,                 1.1153,               0.007921,               0.007921,               0.007921
                     23,                0.85213,                0.42012,                0.70243,                  1.123,                0.96689,                0.44934,                0.49123,                 0.4056,                0.96951,                0.45184,                0.49259,                 0.3951,                0.69686,                0.41225,                0.49271,                 1.1077,               0.007822,               0.007822,               0.007822
                     24,                0.84226,                0.42177,                0.68896,                 1.1171,                0.96806,                0.45498,                0.48936,                0.39954,                0.96986,                0.45596,                0.49072,                0.38707,                0.70376,                0.41089,                0.50501,                 1.1114,               0.007723,               0.007723,               0.007723
